text,label
這部劇給我最大的感觸就是 我們那時都有太多事情想做，可能是想做甚麼工作、讀什麼興趣、玩音樂等等等，往往後面因為現實因素而錯過；然後追悔莫及、想回去抓住遺憾。這時太多人的人生寫照了，往往韓劇又很擅長講社會這事情，動人又貼合很多觀戲人的經歷。,1
大家都讚，我也覺得好看，這篇也不算是什麼批評或吹噓文。 也不是說劉德華演不好，只是當其他香港演員都能說廣東話／不純正口音台詞，他那口（應該是）純正但跟長安其他人不同的普通話，有種難以言喻的違和感。 然後，總是將楊國忠幻視成葉孤城是我的問題嗎？（OK過世的老媽才是他的忠實影迷）幸好看到李照興的影評，證明我不是一個人🤭,1
超人 SUPERMAN 影評： 以下是我對這套戲的評語： 個人覺得今次占今次整體是合格有餘。 首先，今次占在塑造整個世界觀，比上次蕯克版，的確有著一百八十度轉變，最少他不走這種暗黑沉鬱葛咸城風格，轉走比較光明的世界觀，這點無疑是令一般觀眾所以討好。而占在執行上也好準，好多位好恰到好處，在有自己幽默風格之餘也不失DCU應有的質感。 還有今次占不刻意刻意放大超人能力同場面，反而放很多章節落他同其盟友之間的描繪，這點對未來DCU版圖走向好有關鍵。咁當然在這個設定，一定會分薄超人本身的描寫。 而同時，好覺得占想藉今次故事來講出團結的必要，他在好多場面上好刻意放大這點，在當下各地分裂處處時，占開這個故事主軸無疑開如一股清泉，讓觀眾重新意識到團結之重要。群眾高舉超人旗的最為明顯，個人覺得這幕有點如美軍二戰硫磺島舉旗那個時刻。,1
在40th生日這天，看了場電影。 就不發表不專業影評了，只能說看完心情很澎湃也很感慨，面對強權與打壓，仍要保持堅定的信念、做對的事，內心必須要有「信仰」，信仰，才是安定的力量。,1
《失焦的深度》真的超好看！！ 選角、節奏和畫面都很不錯！ 我不太擅長影評，但想講講畫面的部分： 構圖、色調和光影配合得好好，我最中意天台的場景，湛藍的天空、波光粼粼的海面、明亮的光線加起來超級唯美！ 好喜歡天台上那有點點過曝，矇矇矓矓的感覺 至於附上的那一段影片，除了提到的元素外，好看的主角加上微風輕輕吹動的髮絲，我可以看一百次,1
我看完凶器Weapon了 輕度劇透心得，應該是預告片程度： 其實根本不是恐怖片欸。 我很喜歡，而且解謎的方式比較有共鳴。故事劇情輕輕地點到了非常多議題，但只是作為劇情的裝飾，故事主軸其實緊貼真相。 這部片死了蠻多人，但觀賞體驗非常快樂。,1
家長推薦我看美劇《他們的春夏秋冬》，果然，很適合熟齡的我。 中年危機的確存在，三對配偶勾勒出婚姻、家庭親子、事業、友誼、健康......，可以從每一個段落喚起那個誰誰誰！就是這麼傳神。 如果你也是50+，真的推薦看一看。看了，要想，我們的確都是在這樣不完美當中，還是願意選擇和彼此繼續下去。 當中，沒有隱忍！那是真心實意的接受那些不完美，更不是習慣！至少我是這樣解讀。,1
定風波的影評似乎不太好 但看完後是我心中排在古裝劇的前幾名 童雙的大反轉真的讓我猜測不到（以往的劇都猜得到壞人是誰） 也可能是卿卿我我的畫面非常少 正和我胃口（因為太多古裝劇卿卿我我佔比太重感覺有點浪費時間🤣） 最後還有一個喜歡的點 覺得男女主真的很配（個人覺得相比朝雪錄速配很多）,1
白鹿這部戲是最頂了 後面就沒再有超越這部的演技了🥲,1
值得追的一部電影。養眼又練口才。😎😎😎,1
全知讀者視角很好看啊 為什麼脆上的人都說不好看 說jisoo五分鐘毀了一部劇的⋯ 到底有什麼毛病？？？ 全知讀者視角好看的要命啊！ 一開始還覺得很中二 15分鐘後整個大入迷 少數不會有部分劇情放空的片 無雷推推 啊我們敏鎬看來是回不去繼承者的顏巔了 😵,1
昨天看了侏羅紀 真的爆幹好看😍😍,1
侏羅紀世界重生明明超級刺激的 不知道為何評價這麼差 滄龍不斷撞擊船隻 暴龍在水道上狂奔 翼手龍在懸崖邊攻擊偷蛋者 便利商店躲恐龍的劇情也是在呼應第一集的廚房片段 雖然人的劇情略顯尷尬 但後半段恐龍的驚嚇指數真的很高呀 有沒有人跟我有同感,1
我覺得滿好看的啦 但這集的Boss真的奇醜無比🤣 都沒有IMAX的場我覺得很可惜 就爽片啊 我是覺得比不可能的任務好啦,1
沒那麼差 前幾集都有看  我反而推薦這集很精彩 多了一些平凡小人物的參與 會抱怨的點可能是蒼龍出現之前的劇情與對話有點悶  或是就像電影裡面講到人類對於恐龍的新鮮感已經不如以往,1
無限列車的劇情連貫性 節奏 起承轉合都比較好 無限城篇就單元劇 割裂感太重了 情感沒辦法代入,0
鬼滅總體影評：整體觀看滿分100我給70分，因為漪窩座救了整部都是災難的電影，不然可能連及格分都不到。只要看漪窩座跟善逸那邊就好。其他一點都不重要。我還忘了吐糟蝴蝶忍那邊的打鬥場景畫面也是一坨💩，看不到童磨厲害在哪，給人一種劇情殺的感覺，然後蝴蝶忍的招式也是一坨💩，前面糟糕到我對電影的評價差點給了30分，不知道是不是我有看fate還是一拳超人第一季，讓我對幽浮社的期望太高了，反而覺得無限列車跟第一二季做的比較好看。這次整體讓我感覺像是趕鴨子上架，有更多可以處理更好的細節全都沒做到。從無限城比打鬥特效還頂；一直到bgm還有音效都只剩漪窩座在瘋狂地震，整體感覺真的是差勁到爆，要不是漪窩座那邊情感層次堆疊的很好讓我給了70分的評價，整個漪窩座救了整部災難性無限城電影，不然我挺想給30分的。蛤？你說漪窩座值40分喔？你沒聽錯，漪窩座就是那麼鬼，比鬼還要更鬼💀，我甚至可以因為漪窩座給80分，不是因為特效跟打擊音效，是因為劇情太鬼了。但這部分跟製作公司沒啥關係，純粹作者劇本寫太頂。漪窩座的故事都可以直接獨立出來做一部電影也不為過。看完這次無限城你只會覺得漪窩座跟善逸很帥，主角就是個垃圾🗑️,0
Threads滑到現在我還是不知道 對凶器給出好評的 除了收錢業配的人之外 到底還有什麼理由？_？ 我唯一覺得不錯的只有前面鋪陳堆疊的部分 但要說恐怖嗎？ 其實也沒有 就是一些常見的jump scare 還有血腥鏡頭 劇情的部分我一直期待最後有些什麼爆點 結果也沒有 就是平鋪直敘 甚至一堆看起來是伏筆的部分也完全沒有解釋 看了那麼多恐怖片了  我可以理解有些時候為了氣氛營造或是劇情推進  會有不合理的地方 但這部真的是多到我生氣欸= =,0
《凶器》 在各平台看到廣告、預告 好評如潮 不知道是太期待還是標準太高 覺得有記憶點 但真的跟預期有落差,0
凶器以這幾年恐怖片的水準不敢太期待,0
凶器超難看我要暴怒了,0
就差節奏這一點讓我沒辦法說他比無限列車好看🥲,0
超級同意 打鬥戲份動畫精彩細膩度無話可說 但想哭的時候突然變打鬥 然後很燃的時候又有太冗長的回憶 當然照著原作進度很棒 但覺得回憶節奏可以抓一下會更好,0
引用你的格式🙏 視聽表現：110 劇情設計：80 節奏安排：65 打鬥部分就不用說了，發揮了超越想像的水準，但長時間的聲光效果，我眼睛其實有些不適，所以建議有3D暈或眼睛無法受刺激的人，注意身體情況謹慎觀看。 劇情部分，忍的部分真的讓人心碎，氛圍做的很好，這時的節奏也沒有像其他兩段那麼破碎，所以整部電影我印象最深的是蟲柱VS上貳，各方面都算是最平均的。 後半段的斷點做得不好，漫畫有漫畫的節奏，這不適合電影，應該要再更多一些調整，很可惜，這部分應該會是本片最大的缺點，以及過於攏長，應該可以再縮短一些回憶,0
同感 每次正要燃的時候 就跳出回憶 節奏很奇怪,0
真的是這樣！猗窩座那裡的回億真的太久了🥹,0
今日鬼滅電影簡單影評：上半段跟下半段感覺很像不同人做的一樣，不知道為什麼蝴蝶忍那段無論是特效還是音效還有充滿過多的ppt讓我覺得整體感很怪，感覺的出來電影很想呈現無限城浩大的樣子，穿插在打鬥畫面場景當中。但我覺得背景特效跟精美程度比打鬥式ppt還要漂亮很多以至於我看蝴蝶忍那段出戲的不得了，連回憶的Bgm還有打鬥音樂製作就是一個字「爛」，完全沒辦法觸摸倒感動的點。但下半段回到漪窩座那邊救了整部電影，雖然打鬥場景沒有我想像的再更細緻精美，特效聲音也沒有達到我覺得像一二季的要求，但故事很感人。還是要再臭一次那個打鬥bgm有夠難聽，第一次聽到一點都不燃的打鬥音樂，連個碳治郎的火之呼吸音效都很像瞎雞巴亂做一通，給人趕鴨子上架的感覺。其實有點小失望,0
《鬼滅之刃 無限城篇 第一章 猗窩座再襲》 剛看完想講一點點觀後感 我跟某些影評有一樣看法 我覺得...做成TV動畫可能真的比劇場版好 這個第一章總共有三場與上弦的大戰 最後一場就是決戰副標題的猗窩座 這場的確是打得超精彩!! 做成劇場版也絕對沒問題 但問題是前兩場 完全被猗窩座搶走所有焦點 變得好像配角一樣 但明明前面也是很重要 另外第一場大戰我覺得很不流暢 每出一招就回憶一次 如果是TV版分成兩三集的話還可以 但在劇場版的話我就覺得編排很差 才剛熱好身就要進入回憶 而且還不只是一兩次!! 我覺得如果前兩場大戰的次序互換一下會比較好 因為第二場的回憶比較少，也比較快結束 如果放在最開頭先讓觀眾看爽 之後才用第一場戰鬥的回憶讓觀眾休息一下 劇情上應該也沒有先後次序的問題 大家又怎麼看??,0
這部片真的很噁心，希望有人能對這部片做影評。我好奇正反雙方的看法,0
然而，即使是改編電影，還是需要符合原作的精神 至少在人物個性上不能偏移 否則就變成像是抄襲的四不像了 而在電影版的《全知讀者視角》中 將金獨子的技能和第四面牆刪除，我覺得是不可接受的問題 全知讀者視角的技能和第四面牆的存在 是這部作品最重要的根本 一部沒有全知讀者視角的《全知讀者視角》？ 這是什麼鬼玩意？ 根本就是裝扮得類似的不同作品了吧！ 這樣的問題也出現在 劉尚雅的個性整個走鐘 (或許是蔡秀彬詮釋的問題？) 鼻荊變成沒主見的小嘍嘍 以及沒了全讀者視角技能 連帶影響鄭熙媛的身份、劉眾赫的內心 這些原作中的核心沒有保留 真的讓電影版顯得面目全非,0
評價：3顆星 (可惜了這樣的選角與製作，感覺導演或編劇並沒有抓到《全知讀者視角》的核心) 期待動畫版,0
看完超人的心得是毫無波瀾，平平淡淡。 還有超狗幾乎都在扯後腿，導演是不是貓派,0
閒到把天巡者看完 我覺得蠻難看的 但劇情很屌 最大的敗筆就是選角跟色調 真的很怪欸  我目前看過邵雨薇最不適合的角色 哇靠我把自己當影評了 不管啊觀眾最大,0
看完新版超人，可能要逆風一下說說自己的想法（純屬個人想法）。以下有雷，沒看過的不要往下看 新版超人影評都說這版本的更有人性，我真的不這麼覺得，相較之下，我覺得亨超版本的其實是更有人性，劇情也更探討超人的「人」的部分，他只是能力很「神」但是他更像「人」。,0
看完角頭鬥陣欸 我們都覺得有點失望⋯☹️ 你也是嗎？ 我每一集都有看 在幫男友科普的時候普到自己的時間線亂掉 覺得昨天上映第一天就衝有點不值得 應該等影評的🤔,0
看了各個有看原作而且先去看電影的影評串文後 我今天也去看了電影 雖然有做好心理準備可能會不符期待 但看完當下我真的難過到直接在電影院哭出來 講難聽一點真的是好難看，但是絕對不是演員的問題，只是作為原作黨真的對電影劇情太失望了😞,0
《荒野機器人》基本上就是《飛鴨向前衝2.0》，素材直接拿來回收再用，導演是喊著「觀眾不會發現啦」就硬上了嗎？,0
起初對這部題材一點興趣也沒有 加上身旁的人都說看不懂 但某天在朋友家因為太無聊所以點開了這部 跳躍式的拍攝手法 說實話前三集沒認真看確實會容易不理解 劇情上的鋪陳真心來講也偏落俗 撇除孔劉、徐玄振的人格魅力與演技外 這部戲著重的點應該是放在每個人心裡曾經的傷 真正的和解 其實是與自己和解 接受不完美的曾經 尋找情緒的出口 面對犯過的錯 接納失敗過的自己 而非立即尋找替代品或浮木來掩蓋受傷的心 當你真實的面對自己 真誠的面對他人 就肯定會有人無條件接住你 這世界上最可怕的就是偽善與矯情,0
秀彬….沒有特別驚艷🫢可能我需要再看一次🤣🤣🤣,0
喜歡恐龍的我看到侏羅紀上映超開心 但影評太差了 我從4DX改成一般影廳觀賞 只能說幸好我有改 真的不太好看😣 就爽片而已 但這次的主角都感覺很笨..,0
看完超人之後覺得DC的人物都沒有脈絡欸 只是抓幾個很有名的ip就拍了一部電影 但為什麼大魔王要做這些事 為什麼這些人物會出現 他們是誰？ 為什麼投靠現在的陣營？ 都不知道欸！ 常常都是一氣之下然後自爆原因 然後原因都超！瞎！的！ 明明是很強的超人 明明是想塑造成高智商的壞人 但我只看到兩個青少年在嘔氣然後打架！ 然後用一堆很爛的笑點想要填滿尷尬 超尷尬的好嗎！！！！！,0
這部是真的巨難看，服化道醜、超人崩 、節奏爛、角色扁平化、CG差、沒有任何能看的打戲甚至任何一個帥氣的鏡頭，只有滿滿的爛笑話跟沒屁用的大量配角戲份，都懷疑台灣跟北美部分影評普遍這麼高是為了讓大家有屎共享，完全不用跟MOS比，單以一部正常的電影標準，這部真的爛到有剩,0
侏羅紀世界重生真的廢到笑 改叫侏羅紀異形戰場好了 新恐龍醜到哭 劇情一如往常得爛 我只想恐龍看到飽啊啊啊啊啊啊啊,0
「如果在恐龍跟F1之間做抉擇得話，那就沒看過F1就去看F1，如果看過F1就再去二刷F1」 這是我看過最諷刺的影評,0
本來要來看恐龍跟回憶的 結果看了個寂寞 難怪影評這麼糟糕😓 侏羅紀世界：重生,0
對於一個 名字跟人臉對不起來的人來說 看角頭真的很痛苦 我看到一半要一直回想那個人是誰 他是跟誰的 當我全部對上之後 發現 啊 結束了 還是要補一句 黃騰浩戲份真給力,0
看完凶器覺得好普通 採用類似昆丁黑色追諿令的 多重視角非線形敘事手法 前段鋪陳氣氛濃厚 後段揭秘過於急促 設定鬆散收尾過急 論分鏡沒有贏長腿 輪驚嚇沒有贏微笑 論創意沒有贏咒 論氛圍沒有贏仲夏魘 論肉體恐怖沒有贏懼裂 影評們似乎有些過譽了 喬登皮爾搶劇本版權搶輸了 不然給他拍似乎能拍的更好 評分7.4 喜歡恐怖片的不推 不怎麼恐怖  最後一幕甚至很好笑 全場都在笑 喜歡原創劇本的推薦 內有大量血腥暴力畫面,0
鬼滅之刃是一部作畫、配樂優秀，劇情中規中矩，角色塑造‘及格’的作品。 雖稱得上是佳作，但絕對沒到神作的等級。,0
同為神作來說鬼滅真的比不上 我是說動畫 動畫固然拉高水準 但光是畫面是不夠滴,0
票房那麼轟動就來看這影評。 看完以後果然...《鬼滅之刃》不是適合我看的，因為裡面太多悲劇。 這真的是個人口味，我一季動畫看到一半不看就是因為這樣，雖然後面去看漫畫版但也是看到一半就停。,0
看完角頭鬥陣欸 我們都覺得有點失望⋯☹️ 你也是嗎？ 我每一集都有看 在幫男友科普的時候普到自己的時間線亂掉 覺得昨天上映第一天就衝有點不值得 應該等影評的🤔,0
其實在看之前就看到很多影評說這部不需要女主角 但看到目前為止我並沒有覺得不需要他，但可以肯定的是，不需要他的感情線,0
改動有點大 原作粉很多不買單,0
全知讀者視角真人版電影 有夠難看,0
好 我看完了 我真的，我直接在電影院爆哭 後面是怎樣 我真的 氣哭 不一樣根本不一樣 我現在手好抖 我先冷靜一下等下再來發感想,0
«全知讀者視角» 從片名看不出是一部王道熱血韓漫改篇的電影 整體就是主角從菜雞變強的故事 會讓我覺得好看的地方是 他是以遊戲的視角切入 「一個新玩家加入了一部作品 跟那作品的主角並肩作戰改寫劇情」 就像你本人在玩一個RPG遊戲一樣 這類主題在漫畫改編成遊戲時偶爾會看到 但把這樣子的內容在包裝成一部作品還是第一次看到 還沒看過漫畫的我覺得這部還不錯 看過漫畫的女友覺得是一部「慘遭真人化」的作品,0
如果全知今天是動畫化，會不會就不會被噴了，不是應該先出動畫嗎？,0
全知讀者視角… 聽說原作者很喜歡就去看了 結果只是被原作者打廣告了 重要的語句都被刪掉 特效差不多十年前的等級,0
真誠希望全知讀者視角電影沒有第二部,0
【侏羅紀世界-重生】爆！炸！難！看！ 1. 恐龍沒幾隻正常的，一堆四不像的基因怪就算囉！還醜！請問那隻尾王-大頭六腳蠑螈到底在幹嘛？絕招是蜥蜴爬？速度之慢，來我小學的運動會都拿不了前10名，壓迫力0，帥度0，但荒謬度我給超過100分 2. 更想不到的是，所有角色演最好的，竟然還是那隻大頭六腳蠑螈，什麼博士、特戰隊員、父親、女兒，毫無角色曲線與情感，動機極度不明，演技直逼我高中英語話劇，我看片名就知道這些傢伙要去找恐龍，但電影卻花了快半小時鋪陳？？是不是當我傻啊？我真的要瘋了！所有角色我不誇張，你看一眼就知道誰待會要被吃掉了，而且相信我，那些沒被吃掉的，你也會想讓他被吃掉，一堆尬到不行的玩笑跟不合理的情節，靠背！那個老爸一開始腳明明受傷囉，結果被恐龍追一追竟然好了欸！？在一個連OK蹦都沒有的荒島上？？？還有那個像搜集神奇寶貝的主線任務？？我的天啊，根本災難 3. 而且他的核心理念根本是打原版【侏羅紀公園】一巴掌，這集的恐龍因為不適應地球環境死了一大堆…….哈囉！你還記得「生命總會找到出口」這句話嗎？？？這不是整個【侏羅紀】的核心嗎？？？,0
這次的侏羅紀⋯ 1.廢話實在太多了，相信大家都是來看特效的^_^ 2.重頭到尾一直拍小女孩，一直叫爸爸⋯ 3. 腕龍的動畫做的我以為在看東森幼幼台？！ 4.少了恐龍對打的場景⋯暴龍出現的太少 其他的恐龍也是～（應該預算都拿去拍海洋片段的滄龍） 5.變種恐龍實在長得太醜⋯比較像娃娃魚恐龍～ 6. 史嘉蕾喬韓森果然救了整部片。,0
會有點失望，雖然可以看到恐龍特效越做越好看，最後那些東西除外 單就劇情來說，冗員太多，而且人物也刻畫的不深 不如多增加主角團故事和一些與恐龍的互動之類的(不是單被吃掉那種) 還是喜歡殞落國度~,0
難看死完全不是爽片 劇情很爛恐龍很假😡,0
❌ 建議省起來或去看其他好看電影,0
剛看完很失望，衝著恐龍看的，但沒什麼驚艷感，恐龍畫面少，劇情不夠有張力，我在回頭看以前的電影就可以了！,0
就是一套爛片 支線的一家四口有夠煩 恐龍變了異形有夠醜 一直說內心戲但內心戲關我屁事 我只想看恐龍吃人,0
